income,debt,credit_score,Food,Transportation,Housing,Utilities
33801,35614,321,4013.3771113500297,4717.630896243623,9621.410354708893,2148.2729824174776
67220,23051,771,8674.574298295545,8303.944359197434,17165.83240878655,5488.695107830081
29857,5189,744,2060.5074652816365,2711.866708784535,7698.4011744493155,2801.7254305672723
81765,19699,596,4683.9607781739915,5297.906289145856,23540.325769324343,6833.6900764280945
58229,35304,671,4894.562068026864,5764.847113369285,16111.538095179787,5320.041270269446
70658,8414,830,9003.389371874187,6313.31706754761,17884.022110942988,6385.22857174272
42590,46606,720,4581.857551892639,4214.873310138252,11993.827978345424,3121.628092671402
150779,15836,588,19235.445596681646,16228.887722240726,52238.61711160967,13887.14242083923
57001,5896,659,5815.591809960418,6885.811046189509,15072.607633435731,3738.0166913807525
145707,35109,509,14054.802133977584,16830.830908721284,41398.83250365366,13545.147983524268
178618,9054,542,22555.4873933728,10393.904948595402,45824.30053493706,9122.389190052212
132310,33846,812,7611.429547671657,16846.012082470283,36771.15039988255,11839.133026032014
110934,9606,802,14765.968425130497,12000.505022104242,36496.89945406134,11024.140052571169
190197,47313,497,25855.150161627964,24115.754035411246,56589.17660226275,13951.929846790019
58681,5017,544,7260.406763424643,8027.302546184309,20346.24195482994,4191.818022023854
176892,33409,519,26531.359594091115,26189.70983403888,49647.42156007297,14903.441685096055
97177,8846,782,5278.134735976495,14401.667688695079,25040.421362725432,5280.245570833297
123846,14636,580,14804.126469819146,15082.953178611051,35224.55403095625,12108.951742500007
70198,11605,639,8194.588915492197,6077.512948814715,20709.274123534153,6132.259832213159
163925,32341,501,21470.743420085815,8519.674906075472,45862.11804770314,15058.297722363652
161957,35349,608,18024.21549836865,19837.785583427893,42915.37315391428,8456.525608921405
186276,10343,813,25807.421740517486,21927.73050713051,55925.92892812084,12099.790308325813
49160,17019,791,6081.368682021848,6860.931176338282,16260.861815194074,4282.568882118654
169789,15239,649,11331.669608162558,22488.58977719037,44470.382253602955,15281.940380127944
116706,31495,504,15304.23283285206,16060.618515211292,33982.64598517622,8111.282011629534
181429,16341,664,11364.91476809083,21701.226505844585,49061.03321192628,9418.363678654112
31297,35822,642,3479.0275876066225,1819.0888483135095,8835.259274808985,2129.209169395299
159966,35280,450,15718.92481530011,14688.93505477167,44735.74518845143,13546.51832125884
178513,6383,497,14934.696658498091,11616.590054880033,52848.30055610559,14706.429739988887
46339,38809,399,6331.940132128074,4205.7644678472025,13898.887475153182,3827.266192680498
37997,28306,481,5686.914574430606,2815.4702157452257,11449.690066842008,2251.2547313288737
100688,18885,776,9012.474483132675,13904.95489281172,33070.63979136509,6544.514585656294
177692,16681,301,18389.061132861763,19830.285157934155,60648.358685557636,15087.19924017287
169795,43174,812,16577.917584583673,16601.813402783984,51577.80373039187,15700.299516749683
47483,30482,842,2395.1110011688434,6834.436928492501,15378.064615678548,2834.775412626759
78511,12279,617,10968.237537389672,9597.195987425412,26701.624781981907,5866.4498517702605
93473,43258,695,11253.815565319914,10090.558360136964,29340.821632296796,8940.62679598886
22013,41893,620,2442.7795092357387,2794.507852940661,5507.829645211293,1324.1000972876739
82307,4745,718,7914.1562557219195,4772.804220715494,23276.201033318324,5397.3912248532115
173468,15492,449,19269.565448880057,22469.910755501107,50563.02919834992,15087.79738028825
50327,15784,303,4280.251443827175,4586.961474487429,13434.056681524711,4817.648933539885
55741,15790,635,3636.0979194375946,4703.9296649839,16378.050291616995,3428.045942506672
86120,15476,623,4434.175022739583,11400.878579638493,28641.638448417747,7085.233932979072
48971,38893,410,4807.220296386598,5789.832485567161,14082.754417122112,3062.7560142842376
133670,2577,361,15022.108056881616,7253.952547853096,36498.12046399987,6777.476659470419
168816,8651,417,18782.763363765498,8738.180201011886,46890.70470825309,16720.054021303247
175619,12870,407,16353.872664631226,19592.736768921593,61363.41098918775,10810.267484240487
173057,47755,810,21146.381236613295,25495.68010207675,46414.1324735943,15730.413218005966
30163,17964,562,3641.811937098838,2332.877350314086,9959.495080720462,2297.5771527877205
135262,16770,733,20080.659470115923,15886.235288388769,43307.51020535577,8641.750608816716
146317,35682,675,16436.79072682499,16016.290384422859,49359.556059593124,9183.615054243619
95671,18737,741,12863.436668206126,6664.538527924106,29578.476417475726,9359.376683628978
195806,21204,399,9975.627405984918,28801.591904592842,54380.55133598883,15645.952209242187
141302,21635,796,12477.69073641321,9917.30818464101,41958.949797066925,8820.147098829724
114520,13756,754,12818.646906813019,17114.48096256505,32721.543342143163,7887.185153093615
119611,12198,535,10884.861109020092,9696.432159370892,35606.27758728177,9083.253564718072
102590,38884,637,6195.580042175016,14326.169849238082,29833.98550119369,9075.562045944387
148338,6180,496,8690.305714619399,14531.11379874827,41957.74252112071,12006.872547349363
144330,31973,701,18312.02285484154,10071.153863033109,48864.566616168035,8858.614967734724
102444,13789,308,7526.917587704989,10426.57035093895,26795.910500753307,6078.228903194426
44845,26173,662,4906.412824559555,3867.9204703455207,13597.74321700367,3592.2688701225507
100711,45893,390,8530.49034468065,5096.7156947228195,28884.820709927644,5549.110572993615
134612,39325,405,18832.913188631024,9553.46818618765,35142.42925698886,12986.562347624793
56377,38378,398,5967.579077241401,6608.598630151609,15619.732658935898,2827.3196021638705
61916,44589,406,4760.773675560986,5518.566702233619,17885.623065785006,6178.865167367776
47121,40553,356,4980.483951301871,5630.370470176165,12732.181571723604,3235.766866674139
115641,45989,770,12606.836051234477,7789.903984995703,37447.57674553109,7994.14175303612
22567,22593,549,1645.2588985540447,3271.038521575367,6184.792025900022,2055.027085437134
66351,45569,552,4127.680616202144,9772.684565439844,21300.742308607085,5453.518346445223
198148,20759,795,27796.912533832863,19088.830975561763,50216.740233384124,15493.217973305758
92996,35928,651,10887.42700258947,13884.637152889296,27285.991069986558,9075.35424641032
136369,16918,518,10328.827312350708,12802.306272158603,44762.02819215132,10222.181478623967
46099,25045,742,6243.283225009774,4343.31885353434,14766.940314331772,3344.1582922596085
131487,15185,832,14361.23898697932,10801.799544081636,42807.3065938932,11816.1498227112
150973,49921,804,17207.70704371632,8564.506710004713,47826.64649847822,8800.723584006364
134251,3313,561,8132.077986867669,12032.154112299344,39961.06301897511,9413.894921072297
168742,25676,376,21447.176786577333,21603.07735882843,56070.474160449245,15399.656630068293
148692,25216,485,20851.089248018005,16863.73073810726,42613.24856485417,10059.00924739156
168703,36865,674,24230.457865116834,20476.204256660076,45267.407691301356,9164.454843626063
72175,36448,732,8848.102485325155,6440.225919990513,23463.034152783097,5412.462902329708
62604,5095,332,6079.403353724694,8420.703080843748,19281.44566173468,3773.864663453652
157758,314,811,15398.184557861117,10904.594267813605,53581.283767804285,12394.628810504184
192446,22102,564,12578.421733368923,28136.749578440176,62776.93799328648,15824.012064539522
180963,3678,564,24591.601434294967,18732.27609587308,59436.268118343236,15965.796465673287
138662,9245,708,7390.588370750191,8313.564412185235,37310.972042721776,12521.28070973784
144370,31335,769,15340.405511577335,14959.659620711398,46782.57133621022,7786.358134088197
95696,31202,635,6189.72488333628,12816.545047953761,32260.105125929567,5887.236911609887
175953,30675,684,15318.337516486732,14622.53021487495,52407.78739467894,12502.069861810098
42261,20488,751,4062.9819761092344,5014.77475163589,10657.55360166552,3519.7779610930256
110503,32372,436,5584.559635736837,14409.383111410276,31181.228185088305,10566.653070411574
190245,40013,770,9742.593140915631,15233.180733059346,49216.86095871783,18524.82351419774
131031,14240,526,7388.950018158836,16468.43605896218,43785.19737281718,7618.308488615905
159615,9611,685,23194.83272360366,13238.316838043647,46098.901749838595,12311.71961203273
129878,23790,639,13931.9142712041,7226.8289730569895,43455.92489639148,10013.136384648924
34434,2557,652,2721.4575115592716,3449.4393352642023,11456.28369901013,2087.155895293595
100190,8621,784,13370.961458372865,13427.265603420405,28204.823073555002,6177.006305556425
50554,4368,447,3687.666879259554,2699.3965799813773,14209.597479231435,4415.495308236068
187150,46769,761,11574.006919442703,15032.561003256833,47853.553996551935,10678.323552252245
93356,4100,782,4720.268078896937,7124.615762800808,31785.666370385192,7490.93886615846
170205,14188,711,18995.814816464223,9312.648504480316,46415.217227441746,9526.86512113382
32899,32801,575,2832.295607876649,4135.213289107426,9751.821004968488,2591.775170219385
74860,36938,573,5263.296965060863,10369.82562964179,23739.708029821923,7241.303324391018
107298,42433,349,8983.347454220686,10430.955457342123,31371.45223109743,10493.354773840456
152655,9528,397,11575.862703060578,8964.968130911986,39939.567583276636,14045.88737648738
48356,42725,580,7116.0035591022315,4169.387760761904,14324.751875548869,4739.617529581693
117736,33308,743,10012.28340885335,6962.933735702748,34558.93928620996,8052.741656626089
32322,17087,772,1911.1402839286998,3851.449029482631,8094.519215846527,1825.6197389436945
182215,7753,311,17777.294016987198,19958.50006103317,60439.13644611288,9205.289546417147
157538,2766,363,9175.981090185382,21524.159582978238,52588.08476873749,10363.924879449834
72585,6476,400,5637.87156463661,9585.940533446965,22404.887596435903,5711.1405912432465
107935,34234,304,9758.051373543267,8656.116683232685,31392.810343890065,9285.159105374923
160786,31954,749,22771.43471987777,9358.397088524427,42958.101035556516,14742.30756962954
114946,39782,335,10068.04471312207,6443.358825704484,40201.2991212831,6274.053950816603
188178,243,305,15596.73591558286,10761.111496404066,51878.36885652711,16679.82175195151
180799,651,415,15518.671683403727,25121.88001167323,58253.744923864535,16623.32989435888
186779,2795,505,25362.132011011538,19974.728226122308,50559.6023867339,12543.748927252023
181627,36840,516,16451.341432532186,22053.84138403568,59769.699951993294,15420.121118824296
102379,18949,517,9022.768820231826,7249.1134263685235,30513.482342160703,5683.756617681524
33559,18837,566,4005.862520997747,3554.619055271195,9806.50736576975,1723.2625836133782
74792,18616,503,8275.259236666432,8312.00091563826,24303.58200874652,7174.882876958548
67307,25698,455,5323.607488002746,3688.930491948305,18539.29959682087,6316.629409317486
194423,12635,621,16884.249396222527,27431.018246696505,61720.68087122368,13496.587975715998
190114,13486,556,23846.000520952253,13810.375804232719,65944.21048017584,14066.814723626074
121061,28677,813,14279.268659658444,6300.684992431763,36906.32016519115,8841.457816807197
166693,37346,336,17445.3486687299,20059.806151635028,41962.61248469338,15738.314118633665
75439,7109,655,9811.040937538068,9685.308047188477,19540.0418470086,4381.353200934543
159231,45349,461,11062.311043520598,12585.572486567202,46783.04950546465,10088.180849602026
112843,33961,564,10719.12369419132,9779.938905288825,36885.417554697924,8584.921486298601
187180,35121,661,20016.682397157507,12951.170707378682,64010.65436406152,14775.618786930825
94148,32170,497,11505.794720240057,9320.446998659721,29488.631787319526,6237.6170101197185
135007,46106,413,13472.73085177247,19381.52100776409,46200.394652435636,8548.947337897142
177859,9734,739,13214.262315065085,12991.483649580352,47668.977664359685,14627.320932392433
144548,17242,680,20590.285347663736,8161.742093460666,46892.72291575304,8234.951282741255
83595,29873,612,9826.585587623202,12453.665546821096,25265.157087830397,6561.413402774278
134306,48290,523,19199.335239168748,18181.44591952477,44185.207017391826,7742.144615996706
173497,5234,536,24739.823202222622,21656.30326299267,59447.958378979776,13864.00503386319
153597,18960,467,19583.22794892785,17517.874756912486,52609.7982048052,8241.511806071527
79102,44038,586,8411.108418403188,8628.171139404063,21047.0658345872,7200.117936657813
90811,8156,334,7608.704952694502,11102.298707987306,23330.995678873856,7940.302030685729
106648,6093,354,12437.115873167086,15295.921546211825,31192.09468900623,9233.401965825782
112913,18566,778,10617.154236428603,10937.179031450938,35898.19228691903,8993.528259638999
21789,26736,562,2434.3645908892836,3184.5382538992185,6199.14299152318,2122.9714690214905
194194,49467,686,24822.014497483997,17962.50123001873,63767.709736963356,11961.674504453174
159612,27056,693,14575.700449966229,9222.13251071453,48068.935729959565,14484.378395581218
34017,32181,378,2793.5800253147227,1703.6254650427143,9380.359370244789,3057.1697153796486
115348,24390,655,14362.738965959586,11888.529909257548,33291.13531368939,11108.74190853566
97750,17361,436,6332.126738179736,5030.603024577346,27431.33110611736,6328.13371064525
136678,18437,413,8916.88474963629,8503.269386293732,34590.16717121141,10731.373962232285
30464,1855,318,3740.3449703477954,4304.611800244379,9960.192350120731,2255.8911432590867
90613,48977,819,6585.554189333257,6080.058035102435,26770.356485026885,7245.202676761396
197342,43604,562,17113.704428359655,13442.28851630355,55865.292487018065,15809.667631161125
113801,24234,448,10186.600703650534,16834.779861105224,37545.28429939467,9158.724910337582
94957,44974,804,11673.285803080164,5768.575899072489,30506.981823478556,5938.706870316389
92366,17243,733,9784.0862332907,9985.398334980635,25150.6361783757,6524.942576193505
31694,32158,760,4084.217068685257,2277.6936103134576,10355.637879780777,2253.105058647064
135578,43152,496,17158.611289569817,11662.98454999177,43345.0226529857,8357.714430910064
56049,1491,562,4834.691778476403,7062.787277412071,17880.75362489299,4146.637301208021
32022,618,468,4161.634456921013,1841.0986343295276,8518.14320245197,2291.1489847511366
74160,9299,397,7708.827212254021,9607.700808136073,23164.598355882044,4169.803781991767
193514,30510,630,11476.156712754384,28747.219281473306,63016.642931596616,12972.60684300953
69481,31003,504,8057.824475971003,6972.341723071888,18119.97109310767,3734.6220750656657
23992,44000,759,1342.1275242155375,2691.528905162769,7131.155576301294,1779.254752135655
68803,1464,768,5480.630274012082,3795.446656975327,22658.462518859964,3955.355303394416
108996,38749,827,13393.652682503658,14865.067829546088,35196.21980546782,5558.928431840475
131339,28075,739,17090.385332038077,19198.52733175451,45558.27356128973,7861.615442625721
85822,45212,508,9366.675007649965,5544.680270124032,23030.755057225826,6217.784758757439
187404,20661,770,14194.664097577495,17996.016853364552,52758.56345750293,17689.183103925006
77533,39249,398,4496.479547411001,9787.660576450273,24535.772240236194,7252.174433855192
64395,16857,797,3446.0946419040447,9508.294046977311,19554.808900108128,3551.9045419544846
91595,28194,542,9375.296388052739,12329.614909004778,31170.86222871306,8261.368743759194
137900,3931,588,20226.70831700919,15865.897629379808,47483.370534920985,8190.951222226905
152084,10319,458,21649.793255175377,9905.068170489589,40186.76744662586,10718.0340130334
96941,366,776,13921.940764336785,13330.246767558761,24546.84744912151,8043.796892555283
77006,13726,423,9107.375416760988,4871.028430816022,25790.801987231334,7350.148345880562
114903,9491,338,9138.984223532152,8102.955443349519,34540.291029277425,11067.759511768758
54079,38056,574,5118.679856674628,5346.802859218271,17634.07015421289,2855.515505493847
121233,39204,333,6288.216470458871,7962.640339202706,35496.780406772035,6879.360482632861
185240,7142,612,15252.80225958422,23749.04190310184,50215.76726795496,9400.795441224902
77585,31014,314,5120.652764761305,11305.95429729065,25499.977350253022,6492.615732397569
171650,2667,435,11915.74803947379,14932.244011125656,56661.86923707569,12721.995241718829
199227,36970,354,10731.223358124344,17620.057543367497,65321.10365390033,14922.128291724006
49994,33234,670,2642.8358422758474,6319.011941579091,15598.615770813283,4792.950442581642
57055,27083,590,6282.724488271422,3655.99359609651,15180.139138146855,4590.372518097819
176045,15980,476,18578.78286570871,16703.59236183207,45923.32814510492,11745.37982815782
46068,8705,405,5147.553262071342,6156.813056858008,11730.554455888005,2958.130351500716
188559,17349,399,23733.44501570406,15706.123957868134,57283.23614374825,10630.40978042345
140244,33126,724,16790.982250315286,7815.955406864029,48091.482939384696,8516.991247260792
145671,39527,593,9865.737402288174,16618.044879729132,46354.54462700769,9881.238470323024
106861,40378,510,14758.845361730704,5571.394815034522,27599.269535820393,9759.567917924891
116061,9253,335,6060.131613050259,12352.995037828126,30456.98284794469,11582.33197731577
184588,18453,471,11242.701479595087,11158.037799862645,55989.72083022249,13744.459783267708
84480,11101,712,7045.09704166164,8339.158504536916,26419.936525656864,6803.236789563633
88112,11294,783,4462.90065451778,9821.789812706313,23123.084229369593,7828.433120108316
62217,24303,340,9111.983181135562,7366.2951345244455,20434.001086631863,4424.371339919705
167030,16618,571,20825.730052968644,11453.100568771397,41764.972632369194,11650.20977007798
44191,9536,805,4334.351891182649,2915.7880555418724,14058.500605279673,3226.227211953586
142341,45043,384,8139.145876904389,18686.212814320093,35671.33035730295,11588.218542985958
168532,9071,478,17442.255192677105,17694.560311599445,47979.51128959573,8746.497288840816
55872,36698,699,3044.3307476642017,8290.514988049052,17989.727851265376,5377.739615217007
146487,1830,544,14267.609633890423,9945.786046859737,37321.362957716585,11886.452675157367
76854,20562,426,8423.728699152438,6463.237128765686,25210.728715768393,7434.991289382495
55203,45205,632,2873.0623387240526,4765.086194830042,19063.98960053457,3534.185156714938
174569,26501,721,13377.573667456698,9911.226725722086,56858.73675491208,16332.627324549481
69789,32928,768,6763.185489790722,9588.163226622724,20324.042810653078,4798.015509119898
79156,22754,454,5326.881247664676,4826.126419088927,22110.202400748687,5715.2374003501045
184749,46150,377,19325.258992667368,20828.933820815102,58994.714754260705,9841.953245220615
54500,37006,839,5372.105806730078,4206.799831974232,16865.53632573138,4229.566596962741
54265,44594,321,7919.210629197936,6168.189675603527,15937.822848842778,3633.4992200547435
49125,2059,378,2589.2954832129662,3651.0919729029574,15559.719097036463,3280.8307045344
196180,47057,481,21983.695767227124,26413.456929436074,65013.562583804945,13531.828676033847
166355,7959,732,16187.76237587585,24724.33700177567,58106.28619317681,15693.442126533677
102089,13678,467,9509.653802390945,15241.88667404432,34624.51711562287,5940.696315527775
47458,30513,846,3941.773583533915,6495.094041524611,15756.052136063643,2378.2893627966437
184588,16731,581,20239.740340839257,23377.25286369603,54017.199041810105,15247.500855462624
72154,49698,387,7284.364846433959,6775.9275636015345,19692.746279526717,6128.98776733192
31925,3545,518,2614.774648360956,2609.0056740974387,9408.467886701523,2463.4048678735253
159127,21456,696,9045.456153842415,17823.7966152325,45894.90838602166,14514.871645298546
128586,2818,395,9888.259650937815,11964.632578625109,37606.61034944043,8848.41222532396
194635,20499,773,26472.200175712416,21719.48972823534,66912.24108478951,15656.309962572559
175715,4966,573,12367.693234038255,25977.540505394896,60345.15062983361,16751.356292015647
52910,44634,484,6770.961915310291,7304.7731797882825,13573.917290885465,3009.794103423808
60072,39030,538,4788.388905262849,3777.189324468644,18624.89074568664,3898.832427617796
54809,24510,437,7186.180950909302,6729.38579687362,15576.567013066957,4868.851968524808
64551,4563,650,4516.436718110955,3382.4205474175274,18258.780567150912,6350.896025213514
173497,6843,758,25888.019227178724,24546.884152492155,54273.058336423535,13626.177997671502
69577,27289,837,10311.363484266536,6323.261336230253,21971.075322586417,5871.512152560166
21455,20659,425,1783.5586931719063,1479.7875658870908,6979.236602060088,1819.682585041083
131573,31914,833,7253.67449910436,9141.153927406922,39115.81054231477,7631.903727696725
150442,35135,751,15493.100103447505,13852.053038333397,47788.822422102465,14836.007230609825
85739,32546,845,12321.139695896076,9736.911596016083,29740.16889082048,4683.687523924689
56695,819,609,7092.4399583407585,3514.553723926525,16262.099850721197,4909.784156622355
140231,40341,413,15303.509513621018,10628.656791341862,40861.52361662764,11319.478803712133
90746,25927,713,12872.977269123867,9084.746554048772,27802.814260783314,6029.874809603177
187012,18421,493,14522.463712196562,23539.599876676348,54983.875137436735,13394.600799401365
79659,19675,320,4362.426877014212,4805.534868335161,27046.563995127402,5154.0221314491055
44383,28918,826,3646.92447737633,4711.241071719561,12104.630661191235,3200.524755284955
113933,21690,381,8224.648003463019,12952.814450615653,37876.1586554663,6573.290578367922
145263,38002,354,10888.963782649384,14166.58487708363,49335.723723043004,11444.345957694191
168940,19015,456,12708.934877264284,20317.59429452493,51496.98657826458,12410.35088460219
166482,5461,305,10310.492864353384,22048.041219913586,43080.03681677363,12076.832088792109
176105,46726,485,12291.821816943053,9404.567612826748,55969.27126553433,13215.818653226683
130069,21618,759,11860.303295274376,15101.038617922575,36816.68125189461,6998.334295366366
177063,20910,474,20842.40682850266,16955.789888417767,58778.8629632547,10913.450095841958
194550,24432,576,26401.081392586646,28575.801003786946,64331.127238329005,13097.750033959699
42399,7194,811,5058.667424621423,2678.507078373299,10896.612992406854,3682.260782336882
109840,48974,753,11636.642827878506,10829.482963272661,34458.00645009959,6291.967652700496
85435,29197,475,11743.320429241052,6181.254429762711,23154.955862387775,8024.728579927563
148476,7942,838,8435.860729976255,17080.092506675173,38690.66131649676,11484.994119576573
172670,13374,673,11814.648508377297,15762.409210282343,53049.00598484391,16361.499994356996
158573,24707,623,7964.009582998076,22024.42870592641,45318.63004442806,10852.458779842274
141519,45853,847,13591.194151982447,11770.652607833463,44171.86242374463,13923.095807465426
56798,24662,783,6873.07505639091,5609.587261374688,17047.22129296292,4446.043614492287
181253,24243,303,18128.07325829942,12098.914174199575,54961.270531069706,17832.946708625193
193891,13361,718,11363.71160026997,18079.179452639844,56902.3410730572,16071.95240122871
158738,45126,587,22432.436611146924,19468.029558894625,43704.99559809467,11219.974376999502
148177,7593,361,14953.287831885105,9630.837907568191,43809.941105616366,9058.369812647277
80181,24135,664,9793.060940113939,9623.952951468616,21063.210243628357,6534.776516313434
88626,26058,551,6621.880182104784,6330.862658622535,25963.830403588432,8807.320656874745
169351,8538,507,9752.290905861952,9413.292138219484,49768.27175813885,8690.716072695974
186567,21693,682,15256.468440661172,13844.259565832037,54554.965458139566,10974.951173927926
95760,45500,374,13549.97754301815,10371.261442250634,28050.65954512873,6271.072737779835
146362,7022,698,14921.66330829382,13052.130752146133,47279.44880823968,9521.590992996023
199796,9141,325,24087.22599722176,19384.123242316622,57641.23777987594,18565.66144021115
124227,9243,429,7490.780444846297,12544.06481881627,40237.22226554866,9862.63634808751
64883,18853,616,6367.025356686561,6340.4373532517775,21788.926193520176,4416.813395789978
111971,49111,538,6309.345153115609,6052.226358446733,33118.74318224114,10851.56736375461
74430,30869,514,8846.881789965335,7052.987524210824,23653.05421457129,4069.43697651018
151531,1948,557,14869.586298604703,21073.532873254495,48691.06670775996,11392.505092286927
106796,41782,591,9745.743954141211,12886.089848649512,32462.26316313575,9908.454661582256
69400,42420,523,7863.042471856401,4046.752144407309,22127.82258771462,4333.399588472908
58621,2109,511,3976.868553669558,6221.922144657012,18614.612449298722,5383.120406701747
172201,41461,756,13340.822136745159,22732.488789002204,43584.58073473541,16681.688308864
188530,7840,506,13655.987147266585,21572.686304938667,52531.890749990926,18626.9861022419
138480,17941,515,19910.480404173988,13739.768831215404,45369.8335499578,8573.234094260255
147276,42757,508,13926.35331537774,17776.018370334248,47657.18375175217,12731.441274356366
52555,33437,310,7148.87458979618,3720.276433911172,14271.410986687048,3371.7190601392003
198856,6736,670,15022.374890406547,24613.2432260802,62288.25128458511,19412.675247718005
76529,21798,430,6768.975527397334,9744.641700481265,26502.344070397623,6414.818756578304
119450,20260,604,10667.126627495074,6811.386720582418,38162.26651919202,7182.223854132597
106538,47718,481,6085.215502626705,11255.6099039756,31870.213406670035,6596.967836539706
96449,27655,451,14268.640349567491,12155.224584793747,29912.483385128653,5180.932263700644
116028,4633,788,15377.522024416521,9294.549396470633,33429.285026947466,11481.192966729293
159508,20962,326,13154.894729203492,10291.715760433104,55638.213568063344,11479.32379283082
186175,31815,332,13612.78988585635,24128.949027514886,58819.58237376527,12731.745008696102
53779,8163,760,7203.14924964479,6589.715130826806,14800.008783925328,2975.878539563401
49287,24798,342,5603.100778582513,4154.322259361509,15788.088146698381,3407.090989756826
29513,1499,536,2170.114061060965,2468.5778764575552,9204.46958486935,2667.6464514768204
65694,3668,661,4240.882142498393,8324.151406616515,18655.183820086735,5857.414630657574
174173,35637,577,9294.786075942364,23410.61745322585,54940.75712315421,15799.661130576182
37727,46693,849,3161.234822242757,3368.7974242633663,10470.626646457025,3748.7793324870186
121021,909,408,14144.190006478419,9261.047108314022,41858.87675219661,11265.520057438867
188760,3733,525,12429.219524077813,18072.16567336743,57621.16992086388,16740.71606955238
162491,26401,593,23268.45285143312,16808.5210676317,55297.854942360864,9291.217844370163
170228,10787,716,11005.786875082931,18227.32460447472,44478.73280835142,11468.383746247458
112982,17826,548,12373.754436438703,10034.871514399116,33002.910957312044,6854.893894099759
66082,23603,731,4413.821906091492,4391.133072025157,18418.310778374245,5560.603146443638
36543,24157,701,2413.667348948431,4757.224804810437,10222.428703684964,2676.8365515757214
159969,16600,821,13819.577693554667,17000.627333384353,41476.2225295989,10212.805034123016
59209,37114,704,8078.49216097731,3016.654906711841,19159.025356787784,5206.148610434046
33982,45324,785,4398.742130790128,4727.504301734545,11033.359957486904,3009.8956736588475
70908,7739,813,3948.6045694468344,4723.623309342395,19438.697536723277,5516.981077822348
58057,5395,820,6555.059696194613,7636.16278713103,19903.604424003326,3807.5011130667053
51081,33130,692,6174.224004612657,6514.8817801029145,16211.096391901343,3173.900432673154
98653,17667,786,9529.267913910673,10224.630133552524,31678.001022607572,5894.263997826519
185230,993,750,12449.280671588775,16114.787405487654,56929.402593426545,15353.762243837988
146837,38820,411,8576.004651138306,15243.510897981052,47989.23507968402,10920.604551131995
116822,31889,744,11518.165691232733,9960.512757153965,29316.449935993507,11401.461150662737
51983,45287,829,4902.306050611225,6609.199669790936,16364.510785544215,3220.6087020939544
93297,48233,476,13223.876744504136,10360.164520866168,29183.09104582851,7182.92616469665
68287,18474,514,6460.201879218149,9007.90581093469,19316.282889901417,3449.556298983951
85544,24951,397,11550.501720839631,11530.143411405972,26034.567643403938,6847.168385735251
20053,22118,706,2504.462015342751,2685.1040336318624,6002.369002310574,1300.1890338575595
168678,12576,649,22478.358516266875,14648.37060212292,44385.02605529016,16668.9654803786
39958,24776,449,5282.043583197683,5405.118929469695,13712.262512405377,3794.0466107963516
108832,8567,321,8873.599095084659,6858.667593039904,37297.56477353209,7764.736678347173
136150,31363,507,7335.9080429796495,13525.85169057255,40215.140744048775,11061.670816815144
195304,46295,768,13152.681625148298,15724.905916998841,66053.45204241973,12317.145583521924
63761,12517,814,8841.483650946446,3963.2650842300563,21629.324241361493,5724.424868369666
