income,debt,credit_score
71269,17704,486
36369,7744,638
34118,18945,717
77172,47472,306
21466,40565,501
179756,41969,585
123521,44054,514
151774,2536,475
186657,30652,657
156566,6827,516
184589,31015,734
80030,28429,491
66512,29617,475
132828,32960,429
45309,13479,671
125359,9315,369
184672,1031,529
66979,10458,809
164539,19362,714
96412,26625,510
172506,11521,484
185440,22039,656
136882,17647,737
76270,5605,596
157775,13803,326
195062,5183,784
77029,25914,724
185499,26321,840
75726,39296,408
96306,41715,535
130688,44346,692
131002,16688,696
96150,23203,686
176915,40811,333
136716,41841,411
104264,49311,459
81073,7691,639
119972,5850,543
132062,4863,507
190441,29305,469
149765,35987,653
189324,21269,583
179899,39798,798
187469,37904,554
174113,16453,787
148734,41156,624
50737,17361,557
178082,44875,569
150812,30653,532
134190,18035,486
74375,35811,658
189753,45489,459
24244,5285,587
34660,43785,406
79237,46810,438
108283,4915,343
95557,36051,382
108974,45469,831
121946,30964,690
101711,9267,791
33215,46177,732
56823,33015,713
102257,36683,836
87795,7195,598
69932,34501,360
192567,47346,815
166227,4512,489
143290,38401,464
172072,18024,329
103715,44396,789
30228,41132,778
20375,20075,602
164964,2087,772
174438,38392,700
80992,24429,661
154264,19423,638
43805,40777,387
185191,30440,363
88996,44968,395
106985,41751,354
41122,8682,816
44709,43858,817
20288,3218,404
124695,7717,753
49913,2102,511
24959,3446,398
161405,46391,534
193235,27372,802
99928,29669,738
50730,26632,670
35929,29598,733
133943,44337,465
154542,23959,396
23259,739,574
157857,26471,827
61278,17902,746
57813,34906,385
104365,27467,356
173970,28510,547
145321,23498,849
177729,39200,768
119421,20515,466
150648,1695,368
28791,47895,600
70536,40736,811
46564,7715,812
107105,33123,392
81884,41103,572
163032,39287,744
53808,39936,633
84779,47903,534
87326,39776,365
187772,28209,594
163881,23627,351
64972,47639,397
41978,32095,329
22340,45061,836
149297,30643,830
87952,41226,502
140404,27237,390
92786,47099,691
28422,32485,360
65465,25457,314
143196,14177,376
122041,37419,612
168448,6508,490
98199,45940,304
25537,46935,446
147758,23794,680
120261,49725,820
132852,31829,474
177928,19526,454
90569,46079,575
155343,30456,356
111704,36529,354
199647,2477,437
85969,21118,829
86808,34831,615
143514,38180,427
141533,32473,385
27195,9111,732
94849,4760,312
38434,39799,755
25314,5990,605
54769,2800,362
75919,38864,422
78407,28255,550
131436,14111,475
32588,27443,745
33383,36623,318
120924,21696,760
50445,49287,520
100940,3094,694
93798,15255,775
148991,14931,565
54346,25580,607
178694,19938,702
131009,40373,609
58144,38737,667
41529,6101,773
111260,5525,569
161759,14110,843
82309,9557,827
156381,5179,821
31217,20366,365
113118,42448,316
115050,26034,525
40223,46313,746
83589,18049,559
51066,16817,344
25337,36773,534
27630,19382,496
46304,40712,740
186627,45735,427
183466,13224,421
183886,9209,436
73105,295,620
178656,39169,691
30681,7656,702
151342,344,824
28167,25920,375
101636,20189,598
95516,7991,441
24065,16302,393
27161,18138,648
174096,18596,493
196166,10818,834
34353,49687,490
130016,29937,452
196408,16021,741
